web-scraper-order,web-scraper-start-url,Links,Links-href,Adress,Datum,Slutpris,Utgångspris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift/månad,Driftskostnad/år,Pages
"1693420942-69","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.3446037252771%2C18.071268352367646&amp;size=640x350&amp;zoom=14&amp;signature=rsgVpTdaGRop3wJpwTa17Ij0MCc=""/>Såld 2022-08-29<img alt=""profilfoto på mäklare"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover"" src=""https://bilder.hemnet.se/images/broker_profile_small/4a/af/4aaf26065c6c15a4adaa15d055fdcf33.png""/>StaffanHempelDanderydsgatan 28 ALägenhetÖstermalm, Stockholms kommun<img alt=""Skeppsholmen Sotheby&#x27;s International Realty"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2/66/bf/66bf62c5a7c6eb7993b5365b3bf9c531.jpg""/>22+12 m²1 rum890 kr/månNyproduktionSlutpris 4 600 000 kr+7 %209 091 kr/m²","https://www.hemnet.se/salda/lagenhet-1rum-ostermalm-stockholms-kommun-danderydsgatan-28-a-3027531440572489731","Slutpris
  Danderydsgatan 28 A","29 augusti 2022","4 600 000 kr","4 295 000 kr","Lägenhet","Bostadsrätt","1 rum","22 m²","","4 av 4, hiss finns ej","1903","890 kr/mån","4 100 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=15"
"1693420950-70","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.3326073%2C18.0146923&amp;size=640x350&amp;zoom=14&amp;signature=C0SRejozdNAj1nqd4g19djhA2w0=""/>Såld 2022-08-29Creutzgatan 11, 4trLägenhetKungsholmen Thorildsplan, Stockholms kommun<img alt=""HusmanHagberg Kungsholmen"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2_2x/b6/56/b656d8b9f26d099a415a7546b5d620a2.png""/>35 m²1 rum1 844 kr/månSlutpris 3 000 000 kr+7 %85 714 kr/m²","https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-thorildsplan-stockholms-kommun-creutzgatan-11,-4tr-5880340348319890131","Slutpris
  Creutzgatan 11, 4tr","29 augusti 2022","3 000 000 kr","2 795 000 kr","Lägenhet","Bostadsrätt","1 rum","35 m²","Nej","4 av 4, hiss finns ej","1927","1 844 kr/mån","","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=15"
"1693420958-71","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.3352661%2C18.0308475&amp;size=640x350&amp;zoom=14&amp;signature=da-pbt4BxffQtTC0mz9xx8dfF2k=""/>Såld 2022-08-30Alströmergatan 11, egen garageplatsLägenhetKungsholmen - Fridhemsplan, Stockholms kommun<img alt=""Historiska Hem"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2/29/ef/29ef6ea0936106a0033c5f69a2feda85.png""/>37 m²1 rum1 938 kr/månHissSlutpris 3 400 000 kr-3 %91 892 kr/m²","https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-fridhemsplan-stockholms-kommun-alstromergatan-11,-egen-garageplats-295055430239925009","Slutpris
  Alströmergatan 11, egen garageplats","30 augusti 2022","3 400 000 kr","3 495 000 kr","Lägenhet","Bostadsrätt","1 rum","37 m²","Nej","3 av 5, hiss finns","1952","1 938 kr/mån","4 600 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=15"
"1693420966-72","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.3403931%2C18.0309715&amp;size=640x350&amp;zoom=14&amp;signature=VnVz5rRE5rTws9UzYQzR93BIyGk=""/>Såld 2022-08-30<img alt=""profilfoto på mäklare"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover"" src=""https://bilder.hemnet.se/images/broker_profile_small/a7/c7/a7c7e0b87a2b7227c18886f36127b48e.jpg""/>AstridDicanderRörstrandsgatan 23, 2 trLägenhetVasastan - Birkastan, Stockholms kommun<img alt=""Bjurfors Vasastan"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2/a7/97/a797d617963cb956b85e8a6bb4fb6079.png""/>28 m²1 rum1 405 kr/månHissSlutpris 2 810 000 kr+1 %100 357 kr/m²","https://www.hemnet.se/salda/lagenhet-1rum-vasastan-birkastan-stockholms-kommun-rorstrandsgatan-23,-2-tr-3186102247579576522","Slutpris
  Rörstrandsgatan 23, 2 tr","30 augusti 2022","2 810 000 kr","2 795 000 kr","Lägenhet","Bostadsrätt","1 rum","28 m²","Nej","2 av 5, hiss finns","1929","1 405 kr/mån","","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=15"
"1693420974-73","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.33846%2C18.0379925&amp;size=640x350&amp;zoom=14&amp;signature=XNm2f7WMEJ4FMievu-iKZw5LuY8=""/>Såld 2022-08-30<img alt=""profilfoto på mäklare"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover"" src=""https://bilder.hemnet.se/images/broker_profile_small/a0/3d/a03d0b4ae29f7b741469334d27248b23.jpg""/>DanielAslanAtlasgatan 12LägenhetAtlasområdet, Stockholms kommun<img alt=""Unik Fastighetsförmedling AB"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2/1f/dc/1fdc077a6f97e73bc7caf13f303e65aa.jpg""/>31 m²1 rum1 367 kr/månSlutpris 3 500 000 kr+10 %112 903 kr/m²","https://www.hemnet.se/salda/lagenhet-1rum-atlasomradet-stockholms-kommun-atlasgatan-12-3627630056558708219","Slutpris
  Atlasgatan 12","30 augusti 2022","3 500 000 kr","3 195 000 kr","Lägenhet","Bostadsrätt","1 rum","31 m²","Nej","1,5, hiss finns ej","1929","1 367 kr/mån","2 980 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=15"
"1693420982-74","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.33026%2C18.0401669&amp;size=640x350&amp;zoom=14&amp;signature=mu2DU-iDqVsAPW3DIPxomIvCvkQ=""/>Såld 2022-08-30Bergsgatan 31, 2trLägenhetKungsholmen Rådhuset, Stockholms kommun<img alt=""HusmanHagberg Kungsholmen"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2_2x/b6/56/b656d8b9f26d099a415a7546b5d620a2.png""/>23 m²1 rum1 242 kr/månHissSlutpris 2 495 000 kr±0 %108 478 kr/m²","https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-radhuset-stockholms-kommun-bergsgatan-31,-2tr-4197526411114658413","Slutpris
  Bergsgatan 31, 2tr","30 augusti 2022","2 495 000 kr","2 495 000 kr","Lägenhet","Bostadsrätt","1 rum","23 m²","Nej","2 av 5, hiss finns","1927","1 242 kr/mån","","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=15"
"1693420990-75","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.33208%2C18.0145512&amp;size=640x350&amp;zoom=14&amp;signature=y_JXmLWYanVja7J6QQWejf8q_MU=""/>Såld 2022-08-30<img alt=""profilfoto på mäklare"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover"" src=""https://bilder.hemnet.se/images/broker_profile_small/f3/4a/f34a6ae3a66c9c8eb8d23702f5934902.jpg""/>JakobGustavssonGeijersvägen 4LägenhetKungsholmen - Thorildsplan, Stockholms kommun<img alt=""Länsförsäkringar Fastighetsförmedling Stockholm - Kungsholmen"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png""/>34,5 m²1 rum1 894 kr/månSlutpris 2 800 000 kr81 159 kr/m²","https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-thorildsplan-stockholms-kommun-geijersvagen-4-6183089542172602842","Slutpris
  Geijersvägen 4","30 augusti 2022","2 800 000 kr","","Lägenhet","Bostadsrätt","1 rum","34,5 m²","Nej","4 av 4, hiss finns ej","1926","1 894 kr/mån","","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=15"
"1693420998-76","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.3470764%2C18.0656643&amp;size=640x350&amp;zoom=14&amp;signature=KriDuo92-vHox7cX4TLqySuK5TE=""/>Såld 2022-08-31Valhallavägen 49, 4trLägenhetVasastan Östermalm, Stockholms kommun<img alt=""HusmanHagberg Östermalm"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2_2x/b6/56/b656d8b9f26d099a415a7546b5d620a2.png""/>21 m²1 rum1 136 kr/månHissSlutpris 2 575 000 kr+13 %122 619 kr/m²","https://www.hemnet.se/salda/lagenhet-1rum-vasastan-ostermalm-stockholms-kommun-valhallavagen-49,-4tr-1970232972625617651","Slutpris
  Valhallavägen 49, 4tr","31 augusti 2022","2 575 000 kr","2 275 000 kr","Lägenhet","Bostadsrätt","1 rum","21 m²","Nej","4 av 5, hiss finns","1931","1 136 kr/mån","","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=15"
"1693421006-77","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.3362961%2C18.0927429&amp;size=640x350&amp;zoom=14&amp;signature=HdzyVe50DbyBYu6WWMg6nqD2iqQ=""/>Såld 2022-08-31Banérgatan 25ALägenhetÖstermalm, Stockholms kommun<img alt=""Notar"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2/20/cc/20cc4b76ca46cc2250eb9f2561a63e8c.png""/>25 m²1 rum605 kr/månHissSlutpris 2 730 000 kr-9 %109 200 kr/m²","https://www.hemnet.se/salda/lagenhet-1rum-ostermalm-stockholms-kommun-banergatan-25a-6225904035175235967","Slutpris
  Banérgatan 25A","31 augusti 2022","2 730 000 kr","2 995 000 kr","Lägenhet","Bostadsrätt","1 rum","25 m²","Nej","","1970","605 kr/mån","","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=15"
"1693421014-78","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.3386421%2C18.0369644&amp;size=640x350&amp;zoom=14&amp;signature=LQr3EXBtEVLK07YOvrslnpzkVvo=""/>Såld 2022-08-31<img alt=""profilfoto på mäklare"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover"" src=""https://bilder.hemnet.se/images/broker_profile_small/00/fb/00fb323b40e363973e057ea296377519.jpg""/>ElieOanesAtlasgatan 16, 4trLägenhetStockholms kommun<img alt=""Länsförsäkringar Fastighetsförmedling Stockholm - Vasastan"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png""/>27 m²1 rum1 549 kr/månHissSlutpris 3 100 000 kr+24 %114 815 kr/m²","https://www.hemnet.se/salda/lagenhet-1rum-vasastaden-stockholms-kommun-atlasgatan-16,-4tr-7519511853581277210","Slutpris
  Atlasgatan 16, 4tr","31 augusti 2022","3 100 000 kr","2 495 000 kr","Lägenhet","Bostadsrätt","1 rum","27 m²","Nej","4 av 5, hiss finns","1927","1 549 kr/mån","4 200 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=14"
"1693421022-79","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.3365021%2C18.0333786&amp;size=640x350&amp;zoom=14&amp;signature=MSwIir7SZzh9RH9-XmrgKewFHUA=""/>Såld 2022-08-31<img alt=""profilfoto på mäklare"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover"" src=""https://bilder.hemnet.se/images/broker_profile_small/da/d6/dad6e0bc9a7b72fd6c3d717d2c0a3457.png""/>VilhelmÅmanSankt Eriksgatan 61 A, ÖGLägenhetKungsholmen, Stockholms kommun<img alt=""Bjurfors Kungsholmen"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2/a7/97/a797d617963cb956b85e8a6bb4fb6079.png""/>32 m²1 rum1 008 kr/månHissSlutpris 3 460 000 kr+2 %108 125 kr/m²","https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-sankt-eriksgatan-61-a,-og-7658423335697815186","Slutpris
  Sankt Eriksgatan 61 A, ÖG","31 augusti 2022","3 460 000 kr","3 400 000 kr","Lägenhet","Bostadsrätt","1 rum","32 m²","Nej","1, hiss finns","1905","1 008 kr/mån","6 000 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=1&rooms_min=1&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=14"
